,Date,symbol,volume,pv,bullish risk,C2,C1,CMP,P1,P2,Bearish Risk
28,05-12-2024,ICICIPRULI,700,5,3,662.85,672.95,679,682.1,692.65,1
29,05-12-2024,IDEA,7470,0.5,1,7.47,8.32,8.07,8.32,9.37,3
30,05-12-2024,IDFCFIRSTB,2622,0.5,0,64.49,65.49,65.99,66.59,67.54,1
31,05-12-2024,IEX,2089,1.25,1,173.18,175.48,178.15,178.03,180.48,0
32,05-12-2024,IGL,9231,5,1,345.35,355.1,383.2,364.25,374.05,0
33,05-12-2024,INDHOTEL,1580,5,0,804.65,814.1,819.2,823.7,833.6,1
34,05-12-2024,INDIAMART,586,25,3,2293.75,2319.15,2369.8,2385.9,2407.75,3
35,05-12-2024,INDIANB,1478,5,3,593.4,602.3,599.05,611.6,621.65,5
36,05-12-2024,INDIGO,2616,25,0,4257,4306.7,4368,4354.2,4401.25,1
37,05-12-2024,INDUSINDBK,3420,10,3,967.9,985.95,997.8,1004.8,1023.55,0
38,05-12-2024,INDUSTOWER,28766,5,3,345.15,354.35,362.55,363.85,373.55,0
39,05-12-2024,INFY,10392,10,0,1885.85,1905.3,1935,1924.1,1943.35,2
40,05-12-2024,IOC,1750,1.25,1,136.11,138.46,139.55,140.96,143.21,0
41,05-12-2024,IPCALAB,1849,10,1,1437.8,1460.25,1493,1481.65,1500.8,2
42,05-12-2024,IRB,390,0.5,5,55.51,56.56,57,56.56,57.41,4
43,05-12-2024,IRCTC,1625,5,1,823.7,833.35,837.5,842.65,852.6,0
44,05-12-2024,IRFC,1275,1.25,5,148.47,150.62,150.77,152.52,155.12,4
45,05-12-2024,ITC,3329,2.5,2,460.75,465.4,467.7,470.5,475.85,0
46,05-12-2024,JINDALSTEL,2551,5,0,920.25,930.3,935.3,939.55,949.9,0
47,05-12-2024,JIOFIN,1089,2.5,3,341.1,346.15,341.3,350.65,357.9,3
48,05-12-2024,JKCEMENT,1022,25,0,4571.9,4614.25,4618,4667.05,4707.75,3
49,05-12-2024,JSL,1291,5,4,720.15,728.85,729.9,738.35,752.15,5
50,05-12-2024,JSWENERGY,593,5,2,646.7,653.65,654.3,665.1,null,8
51,05-12-2024,JSWSTEEL,2668,5,1,970.5,980.6,998,990.65,999.75,0
52,05-12-2024,JUBLFOOD,1504,5,2,645.2,655.45,663,665.2,674.9,2
53,05-12-2024,KALYANKJIL,1176,5,5,705.6,716.45,719.5,724.7,737.65,2
54,05-12-2024,KEI,1245,50,3,4191.1,4357,4460.3,4435.8,4548.5,4
55,05-12-2024,KOTAKBANK,4228,10,3,1723.95,1743.25,1776,1762.25,1781.1,2
56,05-12-2024,KPITTECH,2428,10,2,1467.9,null,1491.8,null,1506.85,6
57,05-12-2024,LALPATHLAB,599,25,1,2833.75,2919.75,2983,2965.5,3010.9,3
58,05-12-2024,LAURUSLABS,1326,5,0,564.9,574.55,588,584.2,594.5,0
59,05-12-2024,LICHSGFIN,1155,5,4,624.45,633.35,637.5,643.4,653.15,0
60,05-12-2024,LICI,1497,5,5,964.35,970.55,976,982.05,992.6,4
61,05-12-2024,LODHA,1388,10,3,1340.85,1346.05,1371,1368.7,1384.25,5
62,05-12-2024,LT,4266,25,1,3717.6,3764.5,3828,3811.3,3858.9,3
63,05-12-2024,LTF,1516,1.25,0,144.34,146.14,148.35,148.34,150.79,1
64,05-12-2024,LTIM,5041,25,2,6210.25,6250.15,6345.5,6307.55,6355.8,6
65,05-12-2024,LTTS,1907,25,3,5303.05,5355.65,5342.5,5396.65,5513,2
66,05-12-2024,LUPIN,2231,10,0,2086.55,2106.35,2128,2125.9,2145.35,2
67,05-12-2024,M&M,3749,25,1,2971.5,3019.9,3069,3068.15,3117,1
68,05-12-2024,M&MFIN,1315,2.5,0,278.55,283.45,287,288.25,293.35,0
69,05-12-2024,MANAPPURAM,1757,1.25,0,163.84,164.59,167.9,168.74,168.89,0
70,05-12-2024,MARICO,780,5,4,614.3,623.4,632,633.45,642.4,2
71,05-12-2024,MARUTI,5298,50,1,10910.6,11006.8,11176,11104.6,11198.65,0
